Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
UHAL-B,U-Haul Holding Co,Common Stock,46.63,$7.95B,Industrials,Ground Transportation,Cargo Ground Transportation,NYSE
NXT,Nextpower Inc,Common Stock,116.41,$16.21B,Industrials,Electrical Equipment,Electrical Components & Equipment,NASDAQ
CR,Crane Company,Common Stock,184,$10.13B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
VLTO,Veralto Corp,Common Stock,90.47,$21.81B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NYSE
GEV,GE Vernova Inc,Common Stock,936.07,$244.86B,Industrials,Electrical Equipment,Heavy Electrical Equipment,NYSE
ULS,UL Solutions Inc,Common Stock,85.23,$16.51B,Industrials,Professional Services,Research & Consulting Services,NYSE
LOAR,Loar Holdings Inc,Common Stock,63.01,$5.45B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
LTM,LATAM Airlines Group SA,Depository Receipt,52.61,$13.70B,Industrials,Passenger Airlines,Passenger Airlines,NYSE
AMTM,Amentum Holdings Inc,Common Stock,27.15,$6.51B,Industrials,Professional Services,Research & Consulting Services,NYSE
SARO,StandardAero Inc,Common Stock,26.79,$8.51B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
ECG,Everus Construction Group Inc,Common Stock,128.25,$6.09B,Industrials,Construction & Engineering,Construction & Engineering,NYSE
KRMN,Karman Holdings Inc,Common Stock,87.75,$10.87B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
FLY,Firefly Aerospace Inc,Common Stock,38.12,$5.69B,Industrials,Aerospace & Defense,Aerospace & Defense,NASDAQ
LGN,Legence Corp,Common Stock,57.74,$5.94B,Industrials,Construction & Engineering,Construction & Engineering,NASDAQ
EQPT,EquipmentShare.com Inc,Common Stock,20.5,$5.14B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NASDAQ
FPS,Forgent Power Solutions Inc,Common Stock,31.36,$9.09B,Industrials,Electrical Equipment,Heavy Electrical Equipment,NYSE
MWH,SOLV Energy Inc,Common Stock,28.94,$5.73B,Industrials,Construction & Engineering,Construction & Engineering,NASDAQ
SUNB,Sunbelt Rentals Holdings Inc,Common Stock,67.11,$26.07B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
